format	seq	verb	tense	front	back	note	options	so	source	confidence
grup	101			la voz|el coro|la coral|el corista	la veu|el cor|la coral|el cantaire	Som una vintena de cantaires.		la BÈU	AVL Vocabulari de la música	dictionary
grup	102			el ensayo|el ensayo general|el repertorio|la canción	l'assaig|l'assaig general|el repertori|la cançó	L'assaig és dimarts a les vuit.		la-SATCH	AVL Vocabulari de la música	dictionary
grup	103			soprano|contralto|tenor|bajo	la soprano|la contralt|el tenor|el baix	Els baixos entren al compàs vuit.			diccionari	dictionary
grup	104			la cuerda (de voces)|el solista|el solo|al unísono	la corda|el solista|el solo|a l'uníson	Cada corda assaja per separat.			diccionari	dictionary
grup	105			la letra|el estribillo|la estrofa|de memoria	la lletra|la tornada|l'estrofa|de memòria	No em sé la lletra de memòria.		la LLE-tra	AVL Vocabulari de la música	dictionary
grup	106			el ritmo|el silencio|el compás|el calderón	el ritme|el silenci|el compàs|el calderó	Aquí hi ha un silenci de dos temps.			AVL Vocabulari de la música	dictionary
grup	107			flojo|fuerte|levantar la voz|bajar la voz	fluix|fort|alçar la veu|abaixar la veu	Aquesta part es canta fluix.		FLUSH	diccionari	dictionary
grup	108			la respiración|la entonación|la tesitura|el falsete	la respiració|l'entonació|la tessitura|el falset	Aquesta nota és fora de la meva tessitura.			AVL Vocabulari de la música	dictionary
grup	109			el concierto|la actuación|el escenario|el público	el concert|l'actuació|l'escenari|el públic	Pugem a l'escenari en silenci.			AVL Vocabulari de la música	dictionary
grup	110			el tono|la tonalidad|el acorde|la clave	el to|la tonalitat|l'acord|la clau	Has entrat un to més avall.			AVL Vocabulari de la música	dictionary
frase	201			¿por dónde vamos?	Per on anem?	Perdona, per on anem?		par on A-nam	diccionari	dictionary
frase	202			¿me puedes repetir la entrada?	Em pots repetir l'entrada?			am POTS rra-pa-TÍ lan-TRA-da	diccionari	dictionary
frase	203			¿en qué compás estamos?	En quin compàs som?			an quin cum-PÀS som	diccionari	dictionary
frase	204			no lo he entendido	No ho he entès			no wa an-TÈS	diccionari	dictionary
frase	205			¿lo puedes decir más despacio?	Ho pots dir més a poc a poc?			u POTS DÍ mes a POC a POC	diccionari	dictionary
frase	206			¿en qué cuerda cantas?	A quina corda cantes?	A quina corda cantes? — Als baixos.			diccionari	dictionary
frase	207			desde el principio	Des del principi	Tornem-hi des del principi.			diccionari	dictionary
frase	208			empezar de nuevo	Començar de nou	Comencem de nou, si us plau.			diccionari	dictionary
frase	209			calentar la voz	Escalfar la veu	Escalfem la veu deu minuts.		as-cal-FÁ la BÈU	diccionari	dictionary
frase	210			proyectar la voz	Projectar la veu	Has de projectar més la veu.		pru-zhac-TÁ la BÈU	diccionari	dictionary
frase	211			seguir el ritmo	Seguir el ritme	Costa seguir el ritme aquí.			diccionari	dictionary
frase	212			de oído	D'oïda	No sé solfeig, canto d'oïda.		du-Í-da	diccionari	dictionary
frase	213			me he equivocado de compás	M'he equivocat de compàs			me a-qui-vu-CAT da cum-PÀS	diccionari	dictionary
frase	214			perdona, he desafinado	Perdona, he desafinat			par-DO-na, e da-za-fi-NAT	AVL Vocabulari de la música	dictionary
frase	215			a capela	A cappella	Aquesta obra és a cappella.			diccionari	dictionary
