format	seq	verb	tense	front	back	note	options	so	gram	source	confidence
frase	101			fui (al ensayo)	Vaig anar (a l'assaig)			BATCH a-NÁ	<b>vaig + infinitiu = PASSAT.</b> «Vaig anar» és «fui», no «voy a ir». Es fa servir per a un període tancat: <i>ahir, la setmana passada, l'any 2000</i>.	A Punt p.203 · CPNL	verbatim
frase	102			voy a ir / iré	Hi aniré			i a-ni-RÉ	«Voy a ir» <b>no</b> és «vaig anar». El català ho diu amb futur: <b>hi aniré</b>. El pronom <b>hi</b> substitueix el lloc.	A Punt p.205	verbatim
tria	103			**Ahir** ___ al concert amb la Marta.	vaig anar		aniré|*vaig anar|vaig a anar|anava		<b>ahir</b> tanca el període → passat perifràstic. «Vaig a anar» no existeix en català: és un calc del castellà.	CPNL · Contrast de passats	verbatim
tria	104			**Avui** ___ al metge.	he anat		vaig anar|*he anat|aniré|anava		<b>avui</b> encara és obert → perfet (<i>he</i> + participi). Si fos <b>ahir</b>, seria «vaig anar».	CPNL · Contrast de passats	verbatim
grup	105			fui|he ido|iré|iba	vaig anar|he anat|aniré|anava				Les quatre formes d'<b>anar</b> que més es confonen. Tancat · obert · futur · habitual al passat.	A Punt p.203-205	derived
grup	106			vine|he venido|vendré|venía	vaig venir|he vingut|vindré|venia				Participi irregular: <b>venir → vingut</b>.	A Punt p.204	derived
grup	107			estuve|he estado|estaré|estaba	vaig estar|he estat|estaré|estava				<b>Compte:</b> «estaré allí» és <b>hi seré</b>, no «hi estaré». Amb el pronom <b>hi</b> es fa servir <i>ser</i>.	A Punt p.203-205	derived
grup	108			fui (ser)|he sido|seré|era	vaig ser|he estat|seré|era				El participi de <i>ser</i> és <b>sigut</b> o <b>estat</b>; «he estat» és el més habitual.	A Punt p.204	derived
taula	201	auxiliar	passat perifràstic	EL PASADO: auxiliar + infinitivo					L'auxiliar es conjuga i el verb queda en <b>infinitiu</b>: <i>vaig anar, vas venir, va fer</i>. Per a períodes <b>tancats</b>: ahir, la setmana passada, fa un any.	A Punt p.203 · CPNL	verbatim
taula	202	haver	present	EL PERFECTO: haver + participio					<i>he, has, ha, hem, heu, han</i> + <b>participi</b>. Per a períodes <b>oberts</b>: avui, aquest matí, aquesta setmana, fa una estona.	A Punt p.203 · CPNL	verbatim
multi	203			**Avui** he ___ molt bé. *(cantar)*|**Avui** he ___ la partitura. *(perdre)*|**Avui** he ___ molt poc. *(dormir)*	Avui he cantat molt bé.|Avui he perdut la partitura.|Avui he dormit molt poc.	Els tres models de participi regular.			<b>-ar → -at</b> (cantar > cantat) · <b>-er / -re → -ut</b> (perdre > perdut) · <b>-ir → -it</b> (dormir > dormit)	A Punt p.204	verbatim
multi	204			**Avui** ha ___ tothom. *(venir)*|Ha ___ un bon assaig. *(ser)*|Què heu ___? *(fer)*|No l'he ___ mai. *(veure)*	vingut|estat|fet|vist	Aquests no segueixen la regla: s'aprenen d'un en un.			Participis <b>irregulars</b>: venir→vingut · ser→sigut/estat · fer→fet · veure→vist · dir→dit · tenir→tingut · poder→pogut · voler→volgut	A Punt p.204	verbatim
frase	205			Ha ganado muchos partidos. (aún lo sientes presente)	Ha guanyat molts partits.				<b>Perfet</b>: l'acció encara es percep com a present. L'exemple és del llibre.	A Punt p.203	verbatim
