ca_source	ca_final	decision	classification	reason
a quin preu van	a quin preu van?	accept	accent-or-punctuation	mechanical: accent-or-punctuation
a quina hora	a quina hora?	accept	accent-or-punctuation	mechanical: accent-or-punctuation
afeccionar-se	afeccionar-se	reject	real-change	DIEC2 lists afeccionar-se; aficionar-se is the castellanisme
aixo rai!	això rai!	accept	accent-or-punctuation	mechanical: accent-or-punctuation
al constat de	al costat de	accept	real-change	typo: costat
alegre alegra	alegre	accept	real-change	alegre is invariable; alegra is not a word
alemany alemana	l'alemany / l'alemanya	accept	real-change	feminine is alemanya
alt alta	alt / alta	accept	accent-or-punctuation	mechanical: accent-or-punctuation
altre altra	altre / altra	accept	accent-or-punctuation	mechanical: accent-or-punctuation
ambdós ambdues	ambdós / ambdues	accept	accent-or-punctuation	mechanical: accent-or-punctuation
ample ampla	ample / ampla	accept	accent-or-punctuation	mechanical: accent-or-punctuation
anar (preterite tense)	anar (preterite tense)	reject	real-change	a verb paradigm, not a lexical entry; belongs in the verbs file
anar al cine	anar al cine	reject	real-change	cine is a valid DIEC2 entry alongside cinema
anar al teatro	anar al teatre	accept	real-change	teatro is Spanish; Catalan is teatre
andalús	andalús	reject	real-change	adding a feminine form widens the entry; not a correction
anglès anglesa	anglès anglesa	reject	article-added	adds an article the source did not have; not a correction
antic antiga	antic / antiga	accept	accent-or-punctuation	mechanical: accent-or-punctuation
antipàtic antipàtica	antipàtic / antipàtica	accept	accent-or-punctuation	mechanical: accent-or-punctuation
aquell aquella	aquell / aquella	accept	accent-or-punctuation	mechanical: accent-or-punctuation
aquest aquesta	aquest / aquesta	accept	accent-or-punctuation	mechanical: accent-or-punctuation
arquitecte	arquitecte	reject	real-change	adding a feminine form widens the entry; not a correction
arrisat arrisada	arrissat / arrissada	accept	real-change	gloss is rizado, so arrissat with ss
atractiu atractiva	atractiu / atractiva	accept	accent-or-punctuation	mechanical: accent-or-punctuation
avorrit avorrida	avorrit / avorrida	accept	accent-or-punctuation	mechanical: accent-or-punctuation
aïllat aïllada	aïllat / aïllada	accept	accent-or-punctuation	mechanical: accent-or-punctuation
baix baixa	baix / baixa	accept	accent-or-punctuation	mechanical: accent-or-punctuation
barat barata	barat / barata	accept	accent-or-punctuation	mechanical: accent-or-punctuation
blanc blanca	blanc / blanca	accept	accent-or-punctuation	mechanical: accent-or-punctuation
blau blava	blau / blava	accept	accent-or-punctuation	mechanical: accent-or-punctuation
bo bona	bo / bona	accept	accent-or-punctuation	mechanical: accent-or-punctuation
boníssim boníssima	boníssim / boníssima	accept	accent-or-punctuation	mechanical: accent-or-punctuation
brut bruta	brut / bruta	accept	accent-or-punctuation	mechanical: accent-or-punctuation
calent calenta	calent / calenta	accept	accent-or-punctuation	mechanical: accent-or-punctuation
cambrer cambrera	cambrer / cambrera	accept	accent-or-punctuation	mechanical: accent-or-punctuation
canadà	Canadà	accept	accent-or-punctuation	mechanical: accent-or-punctuation
