ca_source	ca_suggested	es	issue
a quin preu van	a quin preu van?	¿a qué precio están?	missing question mark
a quina hora	a quina hora?	¿a qué hora?	missing question mark
afeccionar-se	aficionar-se	aficionarse	variant, aficionar-se is standard
aixo rai!	això rai!	¡no importa! / ¡da igual!	misspelling
al constat de	al costat de	al lado de	misspelling
alegre alegra	alegre	alegre	adjective is invariable
alemany alemana	l'alemany / l'alemanya	el alemán / la alemana	standard m/f form, spelling, article
alt alta	alt / alta	alto / alta	standard m/f form
altre altra	altre / altra	otro / otra	standard m/f form
ambdós ambdues	ambdós / ambdues	ambos / ambas	standard m/f form
ample ampla	ample / ampla	ancho / ancha	standard m/f form
anar (preterite tense)	vaig / vas / va / vam / vau / van	fui / fuiste / fue / fuimos / fuisteis / fueron	not a lexical item, but a verb paradigm
anar al cine	anar al cinema	ir al cine	spelling
anar al teatro	anar al teatre	ir al teatro	spelling
andalús	l'andalús / l'andalusa	el andaluz / la andaluza	added feminine form and articles
anglès anglesa	l'anglès / l'anglesa	el inglés / la inglesa	added articles
antic antiga	antic / antiga	antiguo / antigua	changed, no reason given
antipàtic antipàtica	antipàtic / antipàtica	antipático / antipática	changed, no reason given
aquell aquella	aquell / aquella	aquel / aquella	changed, no reason given
aquest aquesta	aquest / aquesta	este / esta	changed, no reason given
arquitecte	l'arquitecte / l'arquitecta	el arquitecto / la arquitecta	added feminine form and articles
arrisat arrisada	arrissat / arrissada	rizado / rizada	misspelling, ss for intervocalic /s/
atractiu atractiva	atractiu / atractiva	atractivo / atractiva	changed, no reason given
avorrit avorrida	avorrit / avorrida	aburrido / aburrida	changed, no reason given
aïllat aïllada	aïllat / aïllada	aislado / aislada	changed, no reason given
baix baixa	baix / baixa	bajo / baja	changed, no reason given
barat barata	barat / barata	barato / barata	changed, no reason given
blanc blanca	blanc / blanca	blanco / blanca	changed, no reason given
blau blava	blau / blava	azul	changed, no reason given
bo bona	bo / bona	bueno / buena	changed, no reason given
boníssim boníssima	boníssim / boníssima	buenísimo / buenísima	changed, no reason given
brut bruta	brut / bruta	sucio / sucia / bruto / bruta	changed, no reason given
calent calenta	calent / calenta	caliente	normalized m/f pair
cambrer cambrera	cambrer / cambrera	el camarero / la camarera	normalized m/f pair
canadà	Canadà	Canadá	proper noun, needs capitalization
cansat cansada	cansat / cansada	cansado / cansada	normalized m/f pair
car cara	car / cara	caro / cara	normalized m/f pair
carter cartera	carter / cartera	el cartero / la cartera	normalized m/f pair
cinc / cinquè cinquena	cinc / cinquè / cinquena	cinco / quinto / quinta	normalized m/f pair
cinquanta / cinquantà	cinquanta / cinquantè	cincuenta / quincuagésimo	misspelling, ordinal is -è
clar clara	clar / clara	claro / clara	normalized m/f pair
com estàs? com està?	com estàs? / com està?	¿cómo estás? / ¿cómo está?	normalized formal/informal pair
com et dius? com es diu?	com et dius? / com es diu?	¿cómo te llamas? / ¿cómo se llama?	normalized formal/informal pair
començar a la feina	començar la feina	empezar el trabajo	more idiomatic without "a"
com… no hi ha res	com... no hi ha res	como... no hay nada	changed, no reason given
content contenta	content / contenta	contento / contenta	normalized m/f pair
conèixe't	conèixer-te	conocerte	standard form uses hyphen
crec que…	crec que...	creo que...	changed, no reason given
cru crua	cru / crua	crudo / cruda	normalize m/f pair
cuit cuita	cuit / cuita	cocido / cocida	normalize m/f pair
curt curta	curt / curta	corto / corta	normalize m/f pair
còmode còmoda	còmode / còmoda	cómodo / cómoda	normalize m/f pair
d'aqui a dos dies	d'aquí a dos dies	dentro de dos días	missing accent
de petit petita	de petit / de petita	de pequeño / de pequeña	normalize m/f pair
desanimat desanimada	desanimat / desanimada	desanimado / desanimada	normalize m/f pair
desmotivat desmotivada	desmotivat / desmotivada	desmotivado / desmotivada	normalize m/f pair
deu / desè desena	deu / desè / desena	diez / décimo / décima	normalize m/f pair
disparar-se	desaparèixer	desaparecer	Wrong word for 'disappear'.
dissabte	el dissabte	el sábado	Missing article.
disset /dissetè	disset / dissetè	diecisiete / decimoséptimo	changed, no reason given
diumenge	el diumenge	el domingo	Missing article.
divendres	el divendres	el viernes	Missing article.
divertit divertida	divertit / divertida	divertido / divertida	changed, no reason given
dos dues / segon segona	dos / dues / segon / segona	dos / dos / segundo / segunda	changed, no reason given
dòlar	el dòlar	el dólar	Missing article.
econòmic econòmica	econòmic / econòmica	económico / económica / barato / barata	changed, no reason given
el botiguer la botiguera	el botiguer / la botiguera	el tendero / la tendera	changed, no reason given
el cosí la cosina	el cosí / la cosina	el primo / la prima	changed, no reason given
el meu la meva	el meu / la meva	mi	changed, no reason given
el noia	la noia	la chica	wrong article, noia is feminine
el nostre la nostra	el nostre / la nostra	nuestro / nuestra	changed, no reason given
el ordinador, la computadora	l'ordinador / la computadora	el ordenador / la computadora	missing elision before vowel
el seu la seva	el seu / la seva	su	Normalised m/f pair
el teu la teva	el teu / la teva	tu / tus	Normalised m/f pair
el trebellador	el treballador	el trabajador	Misspelling
el vostra la vostra	el vostre / la vostra	vuestro / vuestra	Normalised m/f pair.
el xicot, la xicota	el xicot / la xicota	el novio / la novia	Normalised m/f pair.
em sembla que…	em sembla que...	me parece que...	changed, no reason given
en llenguado a la planxa	un llenguado a la planxa	un lenguado a la plancha	Typo, 'en' for 'un'.
encantat encantada	encantat / encantada	encantado / encantada	Normalised m/f pair.
enfadat enfadada	enfadat / enfadada	enfadado / enfadada	Normalised m/f pair.
enfeinat enfeinada	enfeinat / enfeinada	atareado / ocupado	Normalised m/f pair.
escocès escocèea	escocès / escocesa	el escocés / la escocesa	misspelled feminine form
espantat espantada	espantat / espantada	asustado / asustada	changed, no reason given
esquerre esquerra	esquerre / esquerra	izquierdo / izquierda	changed, no reason given
estar al punt de + inf	estar a punt de + inf.	estar a punto de + inf.	missing preposition 'a'
estar marejat marejada	estar marejat / marejada	estar mareado / mareada	changed, no reason given
estar refredat refredada	estar refredat / refredada	estar resfriado / resfriada	changed, no reason given
estatunidenc estatunidenca	estatunidenc / estatunidenca	el estadounidense / la estadounidense	changed, no reason given
està núvol	està ennuvolat	está nublado	wrong word, 'núvol' is a noun
fart farta	fart / farta	harto / harta	changed, no reason given
fat fada	fat / fada	soso / sosa	changed, no reason given
fa…	fa...	hace...	changed, no reason given
fer s'ho	fer-s'ho	apañárselas	missing hyphen in pronominal combination
ferit ferida	ferit / ferida	herido / herida	normalised m/f pair
fet feta	fet / feta	hecho / hecha	normalised m/f pair
fins I tot	fins i tot	incluso	conjunction 'i' should be lowercase
fort forta	fort / forta	fuerte	normalised m/f pair
fosc fosca	fosc / fosca	oscuro / oscura	normalised m/f pair
fotut fotuda	fotut / fotuda	jodido / jodida	normalised m/f pair
francès francesa	francès / francesa	francés / francesa	normalised m/f pair
gras grassa	gras / grassa	gordo / gorda	normalised m/f pair
gris grisa	gris / grisa	gris	normalised m/f pair
groc groga	groc / groga	amarillo / amarilla	normalised m/f pair
gros grossa	gros / grossa	gordo / gorda / grande	normalised m/f pair
hauries de + inf	hauries de + inf.	deberías + inf.	changed, no reason given
haver de + inf	haver de + inf.	tener que + inf. / deber + inf.	changed, no reason given
il·limitat il·limitada	il·limitat / il·limitada	ilimitado / ilimitada	changed, no reason given
in	en	en	misspelling
inclòs inclosa	inclòs / inclosa	incluido / incluida	changed, no reason given
infermer infermera	l'infermer / la infermera	el enfermero / la enfermera	changed, no reason given
l'aigua (f)	l'aigua	el agua	changed, no reason given
l'aigua sense gas (f)	l'aigua sense gas	el agua sin gas	changed, no reason given
l'aire condicionat (m)	l'aire condicionat	el aire acondicionado	changed, no reason given
l'autobús (m)	l'autobús	el autobús	removed gender marker
l'autobús és més barat qie el metro.	l'autobús és més barat que el metro.	el autobús es más barato que el metro.	misspelling: qie -> que
