verb	tense	forms	flag	source
anar	condicional	aniria / aniries / aniria / aniríem / aniríeu / anirien		beveradb-verbs
anar	futur	aniré / aniràs / anirà / anirem / anireu / aniran	label-normalised	beveradb-verbs
anar	imperfet	anava / anaves / anava / anàvem / anàveu / anaven	label-normalised	beveradb-verbs
anar	present	vaig / vas / va / anem / aneu / van	label-normalised	beveradb-verbs
anar	participi	anat		beveradb-verbs
anar	subjuntiu imperfet	anés / anessis / anés / anéssim / anéssiu / anessin		beveradb-verbs
anar	subjuntiu present	vagi / vagis / vagi / anem / aneu / vagin		beveradb-verbs
batre	condicional	batria / batries / batria / batríem / batríeu / batrien		beveradb-verbs
batre	futur	batré / batràs / batrà / batrem / batreu / batran		beveradb-verbs
batre	imperfet	batia / baties / batia / batíem / batíeu / batien		beveradb-verbs
batre	passat simple	batí / bateres / baté / batérem / batéreu / batéren		beveradb-verbs
batre	present	bato / bats / bat / batem / bateu / baten		beveradb-verbs
batre	subjuntiu imperfet	batés / batéssis / batés / batéssim / batéssiu / batessin	label-normalised	beveradb-verbs
batre	subjuntiu present	bati / batis / bati / batem / bateu / batin	label-normalised	beveradb-verbs
battre	participi	batut	misspelling-of-batre	beveradb-verbs
cantar	condicional	cantaría / cantaries / cantaria / cantaríem / cantaríeu / cantarien		beveradb-verbs
cantar	futur	cantaré / cantaràs / cantarà / cantarem / cantareu / cantaran		beveradb-verbs
cantar	subjuntiu imperfet	cantés / cantéssis / cantés / cantéssim / cantéssiu / cantessin	label-normalised	beveradb-verbs
cantar	imperfet	cantava / cantaves / cantava / cantàvem cantàveu / cantaven		beveradb-verbs
cantar	participi	cantat		beveradb-verbs
cantar	passat simple	vaig cantar / vares cantar / va cantar / varem cantar / vareu cantar / varen cantar		beveradb-verbs
cantar	present	canto / cantes / canta / cantem / canteu / canten		beveradb-verbs
cantar	subjuntiu present	canti / cantis / canti / cantem / canteu / cantin		beveradb-verbs
dir	condicional	diria / diries / diria / diríem / diríeu / dirien		beveradb-verbs
dir	futur	diré / diràs / dirà / direm / direu / diran	label-normalised	beveradb-verbs
dir	imperfet	deia / deies / deia / dèiem / dèieu / deien	label-normalised	beveradb-verbs
dir	present	dic / dius / diu / diem / dieu / diuen	label-normalised	beveradb-verbs
dir	participi	dit		beveradb-verbs
dir	subjuntiu imperfet	digués / diguessis / digués / diguéssim / diguéssiu / diguessin		beveradb-verbs
dir	subjuntiu present	digui / diguis / digui / diguem / digueu / diguin		beveradb-verbs
dir-se	present	em dic / et dius / es diu / ens diem / us dieu / es diuen		beveradb-verbs
dormir	participi	dormit		beveradb-verbs
dormir	present	dormo / dorms / dorm / dormim / dormiu / dormen		beveradb-verbs
dur	condicional	duria / duries / duria / duríem / duríeu / durien		beveradb-verbs
dur	futur	duré / duràs / durà / durem / dureu / duran	label-normalised	beveradb-verbs
dur	imperfet	duia / duies / duia / duiem / duieu / duien	label-normalised	beveradb-verbs
