ca	es	so	en	kind	risk	ca_suggested	issue	flag	source
acabar	acabar / terminar	a-ca-BÁ		mot				verbs_conj1	catalan-deck
acadèmic	académico			mot				formacio	catalan-deck
acidesa	acidez	a-si-DÉ-za		mot				simptomes	catalan-deck
administratiu	administrativo			mot				feines	catalan-deck
adormir-se	dormirse	a-dur-MIR-se		mot				verbs_reflexius	catalan-deck
aigua amb gas	agua con gas			frase				bar	catalan-deck
aigua sense gas	agua sin gas	AIG-ua SEN-za gas		frase				bar	catalan-deck
aldees	aldeas			mot				historia	catalan-deck
amanidera	ensaladera			mot				parament	catalan-deck
ambulatori	ambulatorio	am-bu-la-TU-ri		mot				equipaments	catalan-deck
anar a la piscina	ir a la piscina	a-NÁ a la pis-SI-na		frase				plans	catalan-deck
anar a veure un museu	ir a ver un museo	a-NÁ a BÉU-ra un mu-ZÉU		frase				plans	catalan-deck
angoixa	angustia	an-GOI-sha		mot				simptomes	catalan-deck
ansietat	ansiedad			mot				simptomes	catalan-deck
aparcament de bicicletes	aparcamiento de bicicletas	a-par-ca-MÉN da bi-si-CLÉ-tas		frase				placa	catalan-deck
arbre	árbol	AR-bra		mot				via_publica	catalan-deck
arribar	llegar	a-rri-BÁ		mot				verbs_conj1	catalan-deck
artesans	artesanos	ar-ta-ZANS		mot				historia	catalan-deck
asseure's	sentarse	a-SÉU-ras		mot				verbs_reflexius	catalan-deck
associacions	asociaciones	a-su-si-a-si-ONS		mot				historia	catalan-deck
baixa	baja (laboral)	BAI-sha		mot				contracte	catalan-deck
balancí	balancín			mot				placa	catalan-deck
banc	banco (mueble)			mot				via_publica	catalan-deck
barra	barra			mot				bar	catalan-deck
barris	barrios			mot				historia	catalan-deck
batut	batido			mot				bar	catalan-deck
bomber	bombero	bum-BÉ		mot				feines	catalan-deck
burgesos	burgueses	bur-ZHÉ-zus		mot				historia	catalan-deck
butllofes	ampollas	but-LLU-fas		mot				simptomes	catalan-deck
cafeteria	cafetería	ca-fa-ta-RI-a		mot				bar	catalan-deck
cafè sol	café solo			frase				bar	catalan-deck
calfreds	escalofríos	cal-FRETS		mot				simptomes	catalan-deck
camamilla	manzanilla			mot				bar	catalan-deck
cambrera	camarera			mot				feines	catalan-deck
cansament	cansancio	can-sa-MÉN		mot				simptomes	catalan-deck
cantar	cantar	can-TÁ		mot				verbs_conj1	catalan-deck
canya	caña (cerveza)			mot				bar	catalan-deck
caputxino	capuchino	ca-pu-CHI-nu		mot				bar	catalan-deck
carril bici	carril bici			frase				placa	catalan-deck
la carta	la carta			frase				bar	catalan-deck
cartell informatiu	cartel informativo	car-TELL in-fur-ma-TIU		frase				via_publica	catalan-deck
casal de gent gran	centro de día para mayores	ca-ZAL da ZHEN GRAN		frase				equipaments	catalan-deck
