ca	es	so	kind	topic	example_ca	source	confidence
la veu	la voz		mot	coral		AVL Vocabulari de la música	dictionary
el cor	el coro		mot	coral		AVL Vocabulari de la música	dictionary
la coral	la coral / el orfeón		mot	coral		diccionari	dictionary
el cantaire	el corista		mot	coral		diccionari	dictionary
el cant coral	el canto coral		frase	coral		AVL Vocabulari de la música	dictionary
l'assaig	el ensayo		mot	coral		AVL Vocabulari de la música	dictionary
l'assaig general	el ensayo general		frase	coral		AVL Vocabulari de la música	dictionary
assajar	ensayar		mot	coral		diccionari	dictionary
el director	el director		mot	coral		AVL Vocabulari de la música	dictionary
la directora	la directora		mot	coral		diccionari	dictionary
la batuta	la batuta		mot	coral		AVL Vocabulari de la música	dictionary
la partitura	la partitura		mot	coral		AVL Vocabulari de la música	dictionary
la lletra	la letra		mot	coral		AVL Vocabulari de la música	dictionary
la tornada	el estribillo		mot	coral		AVL Vocabulari de la música	dictionary
l'estrofa	la estrofa		mot	coral		AVL Vocabulari de la música	dictionary
la cançó	la canción		mot	coral		diccionari	dictionary
la nadala	el villancico		mot	coral		AVL Vocabulari de la música	dictionary
l'himne	el himno		mot	coral		AVL Vocabulari de la música	dictionary
l'obra	la obra		mot	coral		diccionari	dictionary
el repertori	el repertorio		mot	coral		diccionari	dictionary
el concert	el concierto		mot	coral		AVL Vocabulari de la música	dictionary
l'actuació	la actuación		mot	coral		diccionari	dictionary
l'escenari	el escenario		mot	coral		diccionari	dictionary
el públic	el público		mot	coral		diccionari	dictionary
afinar	afinar		mot	coral		AVL Vocabulari de la música	dictionary
desafinar	desafinar		mot	coral		AVL Vocabulari de la música	dictionary
l'entonació	la entonación		mot	coral		AVL Vocabulari de la música	dictionary
entonar	entonar		mot	coral		AVL Vocabulari de la música	dictionary
la respiració	la respiración		mot	coral		AVL Vocabulari de la música	dictionary
respirar	respirar		mot	coral		diccionari	dictionary
escalfar la veu	calentar la voz		frase	coral		diccionari	dictionary
projectar la veu	proyectar la voz		frase	coral		diccionari	dictionary
alçar la veu	levantar la voz		frase	coral		diccionari	dictionary
abaixar la veu	bajar la voz		frase	coral		diccionari	dictionary
vocalitzar	vocalizar		mot	coral		diccionari	dictionary
la tessitura	la tesitura		mot	coral		AVL Vocabulari de la música	dictionary
el registre	el registro		mot	coral		AVL Vocabulari de la música	dictionary
el falset	el falsete		mot	coral		AVL Vocabulari de la música	dictionary
la soprano	la soprano		mot	veus		diccionari	dictionary
la contralt	la contralto		mot	veus		diccionari	dictionary
el tenor	el tenor		mot	veus		diccionari	dictionary
el baix	el bajo (voz)		mot	veus		diccionari	dictionary
el baríton	el barítono		mot	veus		diccionari	dictionary
a quina corda cantes?	¿en qué cuerda cantas?		frase	veus		diccionari	dictionary
la corda	la cuerda (grupo de voces)		mot	veus		diccionari	dictionary
el solo	el solo		mot	coral		AVL Vocabulari de la música	dictionary
el solista	el solista		mot	coral		diccionari	dictionary
a l'uníson	al unísono		frase	coral		diccionari	dictionary
a cappella	a capela		frase	coral		diccionari	dictionary
la nota	la nota		mot	musica		AVL Vocabulari de la música	dictionary
el compàs	el compás		mot	musica		diccionari	dictionary
el ritme	el ritmo		mot	musica		AVL Vocabulari de la música	dictionary
el silenci	el silencio		mot	musica		diccionari	dictionary
el to	el tono		mot	musica		AVL Vocabulari de la música	dictionary
la tonalitat	la tonalidad		mot	musica		AVL Vocabulari de la música	dictionary
l'escala	la escala		mot	musica		AVL Vocabulari de la música	dictionary
l'acord	el acorde		mot	musica		AVL Vocabulari de la música	dictionary
la melodia	la melodía		mot	musica		AVL Vocabulari de la música	dictionary
la clau	la clave		mot	musica		AVL Vocabulari de la música	dictionary
el pentagrama	el pentagrama		mot	musica		AVL Vocabulari de la música	dictionary
el solfeig	el solfeo		mot	musica		AVL Vocabulari de la música	dictionary
l'atac	el ataque (entrada)		mot	musica		AVL Vocabulari de la música	dictionary
el calderó	el calderón		mot	musica		AVL Vocabulari de la música	dictionary
fluix	flojo / bajo (volumen)		mot	musica		diccionari	dictionary
fort	fuerte		mot	musica		diccionari	dictionary
de memòria	de memoria		frase	coral		diccionari	dictionary
d'oïda	de oído		frase	coral		diccionari	dictionary
desafinat	desafinado		mot	coral		diccionari	dictionary
equivocar-se	equivocarse		mot	coral		diccionari	dictionary
repetir	repetir		mot	coral		diccionari	dictionary
començar de nou	empezar de nuevo		frase	coral		diccionari	dictionary
des del principi	desde el principio		frase	coral		diccionari	dictionary
seguir el ritme	seguir el ritmo		frase	coral		diccionari	dictionary
em pots repetir l'entrada?	¿me puedes repetir la entrada?		frase	coral		diccionari	dictionary
per on anem?	¿por dónde vamos?		frase	coral		diccionari	dictionary
en quin compàs som?	¿en qué compás estamos?		frase	coral		diccionari	dictionary
no ho he entès	no lo he entendido		frase	coral		diccionari	dictionary
ho pots dir més a poc a poc?	¿lo puedes decir más despacio?		frase	coral		diccionari	dictionary
