ca	es	so	kind	topic	example_ca	source	confidence
moure's	moverse		mot	moviment		diccionari	dictionary
moure	mover		mot	moviment		diccionari	dictionary
moure's cap a la dreta	moverse hacia la derecha		frase	moviment		diccionari	dictionary
moure's cap a l'esquerra	moverse hacia la izquierda		frase	moviment		diccionari	dictionary
aixecar-se	levantarse		mot	moviment		diccionari	dictionary
aixecar	levantar		mot	moviment		diccionari	dictionary
asseure's	sentarse		mot	moviment		diccionari	dictionary
seure	sentarse / estar sentado		mot	moviment		diccionari	dictionary
posar-se de peu	ponerse de pie		frase	moviment		diccionari	dictionary
posar-se	ponerse / colocarse		mot	moviment		diccionari	dictionary
girar	girar / torcer		mot	moviment		diccionari	dictionary
girar-se	girarse / volverse		mot	moviment		diccionari	dictionary
tombar	torcer		mot	moviment		A Punt p.194	verbatim
entrar	entrar		mot	moviment		diccionari	dictionary
sortir	salir		mot	moviment		diccionari	dictionary
pujar	subir		mot	moviment		diccionari	dictionary
baixar	bajar		mot	moviment		diccionari	dictionary
tornar	volver		mot	moviment		diccionari	dictionary
tornar a	volver a (hacer algo)		frase	moviment		diccionari	dictionary
tornar-hi	volver a intentarlo		mot	moviment		diccionari	dictionary
marxar	irse / marcharse		mot	moviment		diccionari	dictionary
anar-se'n	irse		mot	moviment		diccionari	dictionary
quedar-se	quedarse		mot	moviment		diccionari	dictionary
acostar-se	acercarse		mot	moviment		diccionari	dictionary
allunyar-se	alejarse		mot	moviment		diccionari	dictionary
apartar-se	apartarse		mot	moviment		diccionari	dictionary
avançar	avanzar		mot	moviment		diccionari	dictionary
recular	retroceder		mot	moviment		diccionari	dictionary
seguir	seguir		mot	moviment		diccionari	dictionary
aturar-se	detenerse / pararse		mot	moviment		diccionari	dictionary
parar	parar		mot	moviment		diccionari	dictionary
esperar	esperar		mot	moviment		diccionari	dictionary
passar	pasar		mot	moviment		diccionari	dictionary
travessar	cruzar / atravesar		mot	moviment		diccionari	dictionary
caminar	andar / caminar		mot	moviment		diccionari	dictionary
córrer	correr		mot	moviment		diccionari	dictionary
saltar	saltar		mot	moviment		diccionari	dictionary
caure	caerse		mot	moviment		diccionari	dictionary
agafar	coger / agarrar		mot	moviment		diccionari	dictionary
deixar	dejar		mot	moviment		diccionari	dictionary
posar	poner		mot	moviment		diccionari	dictionary
treure	sacar / quitar		mot	moviment		diccionari	dictionary
portar	llevar / traer		mot	moviment		diccionari	dictionary
dur	llevar		mot	moviment		diccionari	dictionary
obrir	abrir		mot	moviment		diccionari	dictionary
tancar	cerrar		mot	moviment		diccionari	dictionary
assenyalar	señalar		mot	moviment		diccionari	dictionary
tocar	tocar		mot	moviment		diccionari	dictionary
mirar	mirar		mot	moviment		diccionari	dictionary
deixar passar	dejar pasar		frase	moviment		diccionari	dictionary
fer un pas endavant	dar un paso adelante		frase	moviment		diccionari	dictionary
fer un pas enrere	dar un paso atrás		frase	moviment		diccionari	dictionary
endavant	adelante		mot	moviment		diccionari	dictionary
enrere	atrás		mot	moviment		diccionari	dictionary
a poc a poc	despacio		frase	moviment		diccionari	dictionary
de pressa	deprisa		frase	moviment		diccionari	dictionary
