ca	es	so	kind	unit	section	topic	scenario	example_ca	source_page	gloss_by	confidence
Bon dia.	Buenos días.		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Bona tarda.	Buenas tardes.		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Hola!	¡Hola!		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Ei, hola!	¡Ey, hola!		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Salut!	¡Hola! (informal)		frase	1	PUNT 2	salutacions	saludar		25	claude-opus-5	verbatim
Benvingut, Sr. Ferrer!	¡Bienvenido, Sr. Ferrer!		frase	1	LÈXIC	salutacions	saludar		31	claude-opus-5	verbatim
Ei, com va això?	¿Ey, qué tal?		frase	1	LÈXIC	salutacions	saludar		31	claude-opus-5	verbatim
Com va això?	¿Qué tal? / ¿Cómo va eso?		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Bé, anar fent. I tu?	Bien, tirando. ¿Y tú?		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Anar fent, i tu?	Tirando, ¿y tú?		frase	1	LÈXIC	salutacions	saludar		31	claude-opus-5	verbatim
Molt bé, gràcies.	Muy bien, gracias.		frase	1	PUNT 1	salutacions	saludar		23	claude-opus-5	verbatim
Moltes gràcies.	Muchas gracias.	MUL-tas GRÀ-si-as	frase	1	LÈXIC	salutacions	saludar		31	claude-opus-5	verbatim
Adeu!	¡Adiós!		frase	1	LÈXIC	salutacions	acomiadar-se		31	claude-opus-5	verbatim
A reveure!	¡Hasta la vista!	a ra-VÈU-ra	frase	1	LÈXIC	salutacions	acomiadar-se		31	claude-opus-5	verbatim
Encantada.	Encantada.		frase	1	LÈXIC	presentacions	presentar-se		31	claude-opus-5	verbatim
Encantada, senyor Valls.	Encantada, señor Valls.		frase	1	PUNT 1	presentacions	presentar-se		23	claude-opus-5	verbatim
Tant de gust.	Mucho gusto.		frase	1	PUNT 1	presentacions	presentar-se		23	claude-opus-5	verbatim
Com et dius?	¿Cómo te llamas?		frase	1	PUNT DE SUPORT	presentacions	presentar-se		30	claude-opus-5	verbatim
Em dic Joana.	Me llamo Joana.		frase	1	PUNT DE SUPORT	presentacions	presentar-se		30	claude-opus-5	verbatim
Soc la Joana.	Soy Joana.	zhu-A-na	frase	1	PUNT DE SUPORT	presentacions	presentar-se		30	claude-opus-5	verbatim
Perdona, com et dius?	Perdona, ¿cómo te llamas?		frase	1	FONÈTICA	presentacions	presentar-se		31	claude-opus-5	verbatim
Hola, em dic Anna. I tu, com et dius?	Hola, me llamo Anna. Y tú, ¿cómo te llamas?		frase	1	FONÈTICA	presentacions	presentar-se		31	claude-opus-5	verbatim
I vostè, com es diu?	Y usted, ¿cómo se llama?		frase	1	FONÈTICA	presentacions	registre-formal		31	claude-opus-5	verbatim
Perdoni, vostè es diu Rovira?	Perdone, ¿usted se llama Rovira?	par-DO-ni, bus-TÉ as rru-VI-ra	frase	1	FONÈTICA	presentacions	registre-formal		31	claude-opus-5	verbatim
I de cognom, com es diu?	Y de apellido, ¿cómo se llama?		frase	1	PUNT 1	presentacions	registre-formal		23	claude-opus-5	verbatim
Hola, ets l'Aina?	Hola, ¿eres Aina?		frase	1	LÈXIC	presentacions	presentar-se		31	claude-opus-5	verbatim
Sí, soc jo.	Sí, soy yo.		frase	1	LÈXIC	presentacions	presentar-se		31	claude-opus-5	verbatim
I ell, qui és?	Y él, ¿quién es?		frase	1	PUNT 1	presentacions	presentar-algu		23	claude-opus-5	verbatim
Qui és?	¿Quién es?		frase	1	PUNT DE SUPORT	presentacions	presentar-algu		30	claude-opus-5	verbatim
És el senyor Vila.	Es el señor Vila.		frase	1	PUNT DE SUPORT	presentacions	presentar-algu		30	claude-opus-5	verbatim
Ell és en Jeremy i també estudia català.	Él es Jeremy y también estudia catalán.		frase	1	PUNT 1	presentacions	presentar-algu		23	claude-opus-5	verbatim
Quants anys tens?	¿Cuántos años tienes?		frase	1	PUNT DE SUPORT	edat	edat		30	claude-opus-5	verbatim
Tinc 33 anys.	Tengo 33 años.		frase	1	PUNT DE SUPORT	edat	edat		30	claude-opus-5	verbatim
En tinc 33.	Tengo 33. (con pronombre en)		frase	1	PUNT DE SUPORT	edat	edat		30	claude-opus-5	verbatim
La Maria en té 18 i jo en tinc 16.	María tiene 18 y yo tengo 16.		frase	1	PUNT 3	edat	edat		27	claude-opus-5	verbatim
Quines llengües parles?	¿Qué idiomas hablas?	QUI-nas LLEN-guas PAR-las	frase	1	PUNT DE SUPORT	llengues	llengues		30	claude-opus-5	verbatim
Quantes llengües parles?	¿Cuántos idiomas hablas?	QUAN-tas LLEN-guas PAR-las	frase	1	PUNT DE SUPORT	llengues	llengues		30	claude-opus-5	verbatim
En parlo 4.	Hablo 4. (con pronombre en)	an PAR-lu	frase	1	PUNT DE SUPORT	llengues	llengues		30	claude-opus-5	verbatim
Parlo 4 llengües.	Hablo 4 idiomas.		frase	1	PUNT DE SUPORT	llengues	llengues		30	claude-opus-5	verbatim
una mica de català	un poco de catalán		frase	1	PUNT 1	llengues	llengues		22	claude-opus-5	verbatim
Encara no parla català.	Todavía no habla catalán.		frase	1	PUNT 1	llengues	llengues		22	claude-opus-5	verbatim
D'on ets?	¿De dónde eres?		frase	1	PUNT DE SUPORT	origen	origen-nacionalitat		30	claude-opus-5	verbatim
Soc de Portugal.	Soy de Portugal.	da pur-tu-GAL	frase	1	PUNT DE SUPORT	origen	origen-nacionalitat		30	claude-opus-5	verbatim
Soc portuguesa.	Soy portuguesa.	pur-tu-GUE-za	frase	1	PUNT DE SUPORT	origen	origen-nacionalitat		30	claude-opus-5	verbatim
De l'Equador.	De Ecuador.	da la-qua-DÓ	frase	1	PUNT 2	origen	origen-nacionalitat		25	claude-opus-5	verbatim
Soc del Brasil	Soy de Brasil.		frase	1	PUNT 2	origen	origen-nacionalitat		25	claude-opus-5	verbatim
Soc de l'Iran.	Soy de Irán.		frase	1	PUNT 2	origen	origen-nacionalitat		25	claude-opus-5	verbatim
Soc de les Filipines.	Soy de Filipinas.	da las fi-li-PI-nas	frase	1	PUNT 2	origen	origen-nacionalitat		25	claude-opus-5	verbatim
Soc dels Estats Units.	Soy de Estados Unidos.	dals as-TATS u-NITS	frase	1	PUNT 2	origen	origen-nacionalitat		25	claude-opus-5	verbatim
Soc d'Atenes, la capital de Grècia.	Soy de Atenas, la capital de Grecia.		frase	1	PUNT 2	origen	origen-nacionalitat		25	claude-opus-5	verbatim
