verb	tense	jo	tu	ell	nosaltres	vosaltres	ells	source_page
anar	condicional	aniria	aniries	aniria	aniríem	aniríeu	anirien	205
anar	futur	aniré	aniràs	anirà	anirem	anireu	aniran	205
anar	imperatiu		ves	vagi	anem	aneu	vagin	206
anar	present	vaig	vas	va	anem	aneu	van	202
anar-se'n	passat perifràstic	me'n vaig anar / vaig anar-me'n	te'n vas anar / vas anar-te'n	se'n va anar / va anar-se'n	ens en vam anar / vam anar-nos-en	us en vau anar / vau anar-vos-en	se'n van anar / van anar-se'n	203
anar-se'n	present	me'n vaig	te'n vas	se'n va	ens en / n'anem	us en / n'aneu	se'n van	202
beure	present	bec	beus	beu	bevem	beveu	beuen	202
casar-se	passat perifràstic	em vaig casar / vaig casar-me	et vas casar / vas casar-te	es va casar / va casar-se	ens vam casar / vam casar-nos	us vau casar / vau casar-vos	es van casar / van casar-se	203
començar	present	començo	comences	comença	comencem	comenceu	comencen	202
comprar	passat perifràstic	vaig comprar	vas comprar	va comprar	vam comprar	vau comprar	van comprar	203
conèixer	present	conec	coneixes	coneix	coneixem	coneixeu	coneixen	202
dir-se	present	em dic	et dius	es diu	ens diem	us dieu	es diuen	202
dormir	present	dormo	dorms	dorm	dormim	dormiu	dormen	203
dormir	subjuntiu present	dormi	dormis	dormi	dormim	dormiu	dormin	207
dur	imperfet	duia	duies	duia	dúiem	dúieu	duien	204
dur	present	duc	dus (duus)	du (duu)	duem	dueu	duen	202
escriure	present	escric	escrius	escriu	escrivim	escriviu	escriuen	202
estar	present	estic	estàs	està	estem	esteu	estan	202
estar-se	present	m'estic	t'estàs	s'està	ens estem	us esteu	s'estan	202
fer	condicional	faria	faries	faria	faríem	faríeu	farien	205
fer	futur	faré	faràs	farà	farem	fareu	faran	205
fer	imperatiu		fes	faci	fem	feu	facin	206
fer	imperfet	feia	feies	feia	fèiem	fèieu	feien	204
fer	present	faig	fas	fa	fem	feu	fan	202
fer	subjuntiu present	faci	facis	faci	fem	feu	facin	207
haver	condicional	hauria	hauries	hauria	hauríem	hauríeu	haurien	205
haver	futur	hauré	hauràs	haurà	haurem	haureu	hauran	205
infinitiu	participi	absoldre	admetre	aparèixer	aprendre	beure	cometre	204
llegir	present	llegeixo	llegeixes	llegeix	llegim	llegiu	llegeixen	203
llevar-se	passat perifràstic	m'he	t'has	s'ha	ens hem	us heu	s'han	203
llevar-se	present	em llevo	et lleves	es lleva	ens llevem	us lleveu	es lleven	202
obrir	present	obro	obres	obre	obrim	obriu	obren	203
parlar	present	parlo	parles	parla	parlem	parleu	parlen	202
parlar	subjuntiu present	parli	parlis	parli	parlem	parleu	parlin	207
participi	participi	absolt	admès	aparegut	après	begut	comès	204
passejar	present	passejo	passeges	passeja	passegem	passegeu	passegen	202
perdre	subjuntiu present	perdi	perdis	perdi	perdem	perdeu	perdin	207
plegar	present	plego	plegues	plega	pleguem	plegueu	pleguen	202
poder	condicional	podria	podries	podria	podríem	podríeu	podrien	205
poder	futur	podré	podràs	podrà	podrem	podreu	podran	205
poder	present	puc	pots	pot	podem	podeu	poden	202
poder	subjuntiu present	pugui	puguis	pugui	puguem	pugueu	puguin	207
portar	imperfet	portava	portaves	portava	portàvem	portàveu	portaven	204
prendre	present	prenc	prens	pren	prenem	preneu	prenen	202
saber	present	sé	saps	sap	sabem	sabeu	saben	202
saber	subjuntiu present	sàpiga	sàpigues	sàpiga	sapiguem	sapigueu	sàpiguen	207
seguir	subjuntiu present	segueixi	segueixis	segueixi	seguim	seguiu	segueixin	207
ser	imperfet	era	eres	era	érem	éreu	eren	204
ser	present	soc	ets	és	som	sou	són	202
ser	subjuntiu present	sigui	siguis	sigui	siguem	sigueu	siguin	207
sortir	present	surto	surts	surt	sortim	sortiu	surten	203
tancar	present	tanco	tanques	tanca	tanquem	tanqueu	tanquen	202
tenir	futur	tindré	tindràs	tindrà	tindrem	tindreu	tindran	205
tenir	imperfet	tenia	tenies	tenia	teníem	teníeu	tenien	204
tenir	present	tinc	tens	té	tenim	teniu	tenen	203
tenir	subjuntiu present	tingui	tinguis	tingui	tinguem	tingueu	tinguin	207
venir	condicional	vindria	vindries	vindria	vindríem	vindríeu	vindrien	205
venir	futur	vindré	vindràs	vindrà	vindrem	vindreu	vindran	205
venir	present	vinc	vens	ve	venim	veniu	venen	203
venir	subjuntiu present	vingui	vinguis	vingui	vinguem	vingueu	vinguin	207
veure	present	veig	veus	veu	veiem	veieu	veuen	202
viure	present	visc	vius	viu	vivim	viviu	viuen	202
voler	futur	voldré	voldràs	voldrà	voldrem	voldreu	voldran	205
voler	imperfet	volia	volies	volia	volíem	volíeu	volien	204
voler	present	vull	vols	vol	volem	voleu	volen	202
